,unit,ticker,exchangeCD,utcOffset,currencyCD,barTime,closePrice,openPrice,highPrice,lowPrice,totalVolume,totalValue
0,1,1,XSHE,+08:00,CNY,9:30,8.65,8.65,8.65,8.65,368260,3185449
1,1,1,XSHE,+08:00,CNY,9:31,8.62,8.64,8.65,8.62,482140,4163954
2,1,1,XSHE,+08:00,CNY,9:32,8.64,8.62,8.64,8.62,261646,2257675.52
3,1,1,XSHE,+08:00,CNY,9:33,8.64,8.64,8.65,8.63,224300,1937770
4,1,1,XSHE,+08:00,CNY,9:34,8.65,8.64,8.65,8.64,148340,1282265.6
5,1,1,XSHE,+08:00,CNY,9:35,8.64,8.64,8.65,8.64,343500,2969208
6,1,1,XSHE,+08:00,CNY,9:36,8.64,8.65,8.65,8.63,360061,3111275.03
7,1,1,XSHE,+08:00,CNY,9:37,8.63,8.64,8.64,8.63,326740,2821156.2
8,1,1,XSHE,+08:00,CNY,9:38,8.64,8.63,8.65,8.63,567600,4903317.6
9,1,1,XSHE,+08:00,CNY,9:39,8.64,8.63,8.65,8.63,422900,3653999
10,1,1,XSHE,+08:00,CNY,9:40,8.64,8.64,8.65,8.63,208181,1798969.14
11,1,1,XSHE,+08:00,CNY,9:41,8.66,8.65,8.67,8.64,330330,2859363
12,1,1,XSHE,+08:00,CNY,9:42,8.66,8.66,8.67,8.65,372137,3222732.42
13,1,1,XSHE,+08:00,CNY,9:43,8.68,8.67,8.68,8.66,547366,4747819.16
14,1,1,XSHE,+08:00,CNY,9:44,8.68,8.68,8.69,8.68,270420,2348388.6
15,1,1,XSHE,+08:00,CNY,9:45,8.71,8.68,8.72,8.68,859900,7482795.2
16,1,1,XSHE,+08:00,CNY,9:46,8.69,8.71,8.71,8.68,268340,2333868.4
17,1,1,XSHE,+08:00,CNY,9:47,8.69,8.68,8.69,8.68,78000,677644
18,1,1,XSHE,+08:00,CNY,9:48,8.7,8.69,8.7,8.68,349886,3041345.34
